Tipo;Nome del sito;descrizione del sito;indirizzo;info;orario ingresso;note orario ingresso;biglietto;indirizzo mail;sito web;note visite guidate;accessibilità;nome;anno;geocoding;formatted_address;CAP;località;latitude;longitude
musei e gallerie d'arte;Chiesa di S. Matteo (1633);chiesa;Corso Vittorio Emanuele, 247;tel. 329 6198263;da Lunedì a Sabato dalle 10 alle 16.30 (fino al 30 aprile) dalle 10 alle 18 (dal 1 maggio) - Domenica e festivi dalle 9.30 alle 11;;contributo d'ingresso 1,00;;;;;Chiesa di S. Matteo;1633;Via Vittorio Emanuele, 247, Palermo;Via Vittorio Emanuele, 247, 90133 Palermo, Italy;90133;Palermo;38.1163336;13.3629904
chiese e oratori;Chiesa di S. Mattia ai Crociferi;chiesa;Via Torremuzza (entrata da Foro Umberto I, 14);"tel. 091 740 6903 (sede dell'Assessorato al ""centro storico"")";Chiusa per restauri;Chiusa per restauri;;;;;;Chiesa di S. Mattia ai Crociferi;;Via Torremuzza, 20, Palermo;Via Torremuzza, 20, 90133 Palermo, Italy;90133;Palermo;38.1166327;13.3726693
chiese e oratori;Chiesa di S. Nicolò da Tolentino (1495);chiesa;Via Maqueda, 159;tel. 091 6163013;;da ottobre a giugno tutti i giorni dalle 9 alle 12 e dalle 16.30 alle 18.30. Da luglio a settembre dal lunedì al sabato dalle 9 alle 12 il sabato anche dalle 16.30 alle 18.30;;;;;;Chiesa di S. Nicolò da Tolentino;1495;Via Maqueda, 159, Palermo;Via Maqueda, 159, 90133 Palermo, Italy;90133;Palermo;38.1136;13.3628166
chiese e oratori;Chiesa di S. Nicolo di Bari all'Albergheria (1330);chiesa;Via Nunzio Nasi, 18;tel. 091 6512820;da lunedì a sabato dalle 9 alle 12 e dalle 16.30 19. Domenica e festivi dalle 9 alle 12.;;;;;;;Chiesa di S. Nicolo di Bari all'Albergheria;1330;Via Nunzio Nasi, 18, Palermo;Via Nasi Nunzio, 18, 90134 Palermo, Italy;90134;Palermo;38.1117578;13.3597192
musei e gallerie d'arte;"Museo Archeologico Regionale ""A. Salinas""";Museo Archeologico Regionale;Piazza Olivella, 24;tel. 091 6116805/6;orari: da Martedì a Venerdì dalle 8.30 alle 13.30 e dalle 14.30 alle 18.30 - Sabato, Domenica e festivi dalle 8.30 alle 13.30 Chiuso Lunedì;;intero 4,00 - ridotto 1,00 per residenti Palermo - ridotto 2,00 per ragazzi dai 18 ai 25 anni - gratuito per under 18 ed over 65.;;www.regione.sicilia.it/beniculturali/salinas;;;"Museo Archeologico Regionale ""A. Salinas""";;Piazza Olivella, 24, Palermo;Via Bara All'Olivella, 24, 90133 Palermo, Italy;90133;Palermo;38.1211084;13.3610204
chiese e oratori;Chiesa di S. Ninfa dei Crociferi (1601);chiesa;Via Maqueda, angolo via Celso 220;tel. 091 334838;da Lunedì a Sabato dalle 8.30 alle 12.30 e dalle 16.30 alle 19.30 - Domenica dalle 8 alle 10 e dalle 16.30 alle 19.30;n.b. durante le funzioni religiose non sono ammessi visitatori;;;;;;Chiesa di S. Ninfa dei Crociferi;1601;;;;;;
musei e gallerie d'arte;"Museo Civico ""Renato Guttuso""";museo Civico;Via Rammacca, 9 Bagheria PA c/o Villa Cattolica;tel: 091 943902/4/6;da Martedì a Domenica e festivi dalle 9.30 alle 14 e dalle 15 alle 19.30 Chiuso Lunedì;Il museo resterà chiuso il 25 dicembre e il 1 gennaio;intero 5,00 - ridotto 4,00 per under 18 ed over 65 anni - 2,00 per scolaresche;;www.museoguttuso.it;;;"Museo Civico ""Renato Guttuso""";;Via Rammacca, 9, Bagheria PA;Via Rammacca, 9, 90011 Bagheria Province of Palermo, Italy;90011;Bagheria;38.0892177;13.5029711
musei e gallerie d'arte;Museo d'Arte Contemporanea della Sicilia;Museo d'Arte Contemporanea della Sicilia - sede Palazzo Belmonte Riso;Corso Vittorio Emanuele, 365;tel: 091 587717;da Martedì a Domenica dalle 10 alle 20 (alle 22 il Giovedì e Venerdì) Chiuso Lunedì;;intero 6,00 - ridotto 3,00 per universitari - ridotto 1,00 residenti - gratuito per under 18 ed over 65.;;www.palazzoriso.it;;;Museo d'Arte Contemporanea della Sicilia;;Via Vittorio Emanuele, 365, Palermo;Via Vittorio Emanuele, 365, 90134 Palermo, Italy;90134;Palermo;38.115195;13.360105
musei e gallerie d'arte;Museo d' Arte Islamica;Museo d' Arte Islamica - Sede c/o Castello della Zisa;Piazza Guglielmo il Buono;tel: 091 6520269;da martedì a domenica dalle 9 alle 19. Domenica, lunedì e festivi infrasettimanali dalle 9 alle 13.30;;;;;;;Museo d' Arte Islamica;;;;;;;
chiese e oratori;Chiesa di S. Sebastiano (1516);chiesa;Via del Noviziato;tel. 091 326597 (S.Maria La Nuova);orari: Sabato dalle 16.30 alle 18.00;Chiuso da Lunedi a Venerdi e Domenica Possibile visitare la Chiesa su prenotazione telefonica;;;;;;Chiesa di S. Sebastiano;1516;;;;;;
musei e gallerie d'arte;"Museo d'Arte Moderna ""Giuseppe Sciortino""";Museo d'Arte Moderna;Piazza Guglielmo II, Monreale (Pa);tel: 091 6564647;da lunedì a sabato dalle 8 alle 13 e dalle 15 alle 19 - Domenica e festivi dalle 9.00 alle 13;;intero 3,00 - gratuito per under 18, over 65 anni e per scolaresche;;;;;"Museo d'Arte Moderna ""Giuseppe Sciortino""";;;;;;;
chiese e oratori;Chiesa di S. Stanislao Kostka (1705);chiesa;Via del Noviziato;tel. 091 583859;da lunedì a venerdì dalle 8.50 alle 12 e dalle 16 alle 18. Domenica e festivi dalle 9 alle 12.;;;;www.stanislao.diocesipa.it;;;Chiesa di S. Stanislao Kostka;1705;;;;;;
musei e gallerie d'arte;"Museo del Giocattolo ""Pietro Piraino""";Museo del Giocattolo - sede Palazzo Aragona Cutò;Via Consolare, 105 Bagheria PA;tel: 091 943803 / 1;da Martedì a Venerdì dalle 9 alle 13 e dalle 15 alle 18.30 Sabato e Domenica e festivi dalle 9 alle 13 Chiuso Lunedì;;intero 4,00 - ridotto 3,00 per studenti e/o gruppi min. 10 pax - 2,00 per bambini fino a 6 anni - supplemento per guida, ove richiesta, 0,50 (su prenotazione);;museodelgiocattolo.org;guide su prenotazione;;"Museo del Giocattolo ""Pietro Piraino""";;Via Consolare, 105, Bagheria PA;Via Consolare, 105, 90011 Bagheria Province of Palermo, Italy;90011;Bagheria;38.0886087;13.5084
chiese e oratori;Chiesa di S. Teresa alla Kalsa (1686);chiesa;Piazza Kalsa;tel. 091 6171658;da Martedì a Domenica dalle 7 alle 11 e dalle 16 alle 19;Chiuso Lunedi;;;;;;Chiesa di S. Teresa alla Kalsa;1686;;;;;;
chiese e oratori;Chiesa di Ss. Pietro e Paolo Apostoli (1880);chiesa;Via Bentivegna 62, B;tel. 091 335485 - fax 091 6126843;da Lunedì a Sabato dalle 8 alle 12 e dalle 16.30 alle 20.30;Domenica e festivi dalle 8.30 alle 12.30 e dalle 19.30 alle 21.30;;;;;;Chiesa di Ss. Pietro e Paolo Apostoli;1880;Via Francesco Bentivegna, 62 B, Palermo;Via Francesco Bentivegna, 62, 90139 Palermo, Italy;90139;Palermo;38.1229768;13.360095
musei e gallerie d'arte;Museo del Mare (Arsenale Borbonico);Museo del Mare (Arsenale Borbonico);Via dell' Arsenale, 140 (ex Cristoforo Colombo);tel. 091 361309 - 335 610 2379;da Martedì a Domenica dalle 9.30 alle 12.30 Chiuso Lunedì;;ingresso 2,00;;www.arsenaledipalermo.it;;;Museo del Mare (Arsenale Borbonico);;Via dell' Arsenale, 140, Palermo;Vicolo dell'Arsenale, 90142 Palermo, Italy;90142;Palermo;38.1366259;13.3666715
musei e gallerie d'arte;"Museo del Risorgimento ""V.E. Orlando""";Museo del Risorgimento;Piazza S. Domenico, 1;tel. 091 582 774;da Lunedì al Venerdì dalle ore 10 alle 12 Chiuso Sabato, Domenica e festivi;;intero  4,00;;www.storiapatria.it;;;"Museo del Risorgimento ""V.E. Orlando""";;Piazza S. Domenico, 1, Palermo;Piazza San Domenico, 1, 90133 Palermo, Italy;90133;Palermo;38.1187504;13.3631188
musei e gallerie d'arte;Museo della Specola (Osservatorio Astronomico);osservatorio astronomico;Piazza del Parlamento, 1;tel. 091 233 247 - 091 233 232;;Il Sito momentaneamente rimane chiuso al pubblico;;;www.astropa.unipa.it;;;Museo della Specola (Osservatorio Astronomico);;;;;;;
musei e gallerie d'arte;"Museo di Mineralogia e Zoologia ""P. Doderlein""";Museo di Mineralogia e Zoologia;Via Archirafi, 16;tel. 091 238 91819;"da Lunedì a Venerdì dalle 9 alle 13 - Sabato e le Domeniche con ""eventi organizzati"" dalle 10 alle 17 Chiuso Domenica e festivi";;intero 3,00 - ridotto 2,50 per gruppi - 2,00 per studenti universitari e dipendenti - 1,00 per residenti - gratuito per studenti della facoltà di mineralogia e scienza;;www.museozoologia.unipa.it;;;"Museo di Mineralogia e Zoologia ""P. Doderlein""";;Via Archirafi, 16, Palermo;Via Archirafi, 16, 90123 Palermo, Italy;90123;Palermo;38.111366;13.3722824
chiese e oratori;Duomo di Monreale (1174);Duomo di Monreale, chiesa;Piazza Duomo - Monreale PA;tel. 091 6402424;tutti i giorni dalle 8,30 alle 12,45 e dalle 14.30 alle 17.30 (dal 1 aprile al 31 ottobre) - tutti i giorni dalle 8,30 alle 12,45 e dalle 15.30 alle 17.30 (dal 1 novembre al 31 marzo).;"n.b. per le visite di gruppi necessità una prenotazione telefonica. Per info 327 351 0886 (L- Mm - V 9/13) Possibile accedere tutti i giorni al ""museo cappella roano"" e alle ""terrazze"" da Lunedì a Sabato dalle 9 alle 13 e dalle 14.30 alle 17.30";"contributo ""d'ingresso"" per la manutenzione e salvaguardia del Sito 1,50 - con ausilio di audioguida 5,00 ""museo cappella roano"" e alle ""terrazze"" contributo ""d'ingresso"" per la manutenzione e salvaguardia del ""museo"" 4,00 - delle ""terrazze"" 2,00";;www.webdiocesi.chiesacattolica.it/sicilia/monreale;;;Duomo di Monreale;1174;;;;;;
musei e gallerie d'arte;Museo di Radiologia;Museo di Radiologia;Piazza delle Cliniche, 2 (all'interno del Policlinico di Palermo);tel. 091 655 2335/6;Ingresso gratuito esclusivamente su richiesta e prenot. telefonica Chiuso Sabato, Domenica e festivi;;Ingresso gratuito;;;;;Museo di Radiologia;;;;;;;
chiese e oratori;Chiostro di Monreale;chiostro, chiesa;Piazza Guglielmo il Buono - Monreale (PA);tel. 091 6404403;Il Lunedì, domenica e festivi infrasettimanali dalle 9 alle 13.30. Da martedì - sabato dalle 9 alle 19.;;intero 6,00 - ridotto 3,00 dai 18 ai 25 anni - gratuito per minorenni ed over 65.;;www.palermotourism.com/datad/cultura/scheda.asp?id=1110;;;Chiostro di Monreale;;;;;;;
chiese e oratori;Oratorio dei Bianchi (1505);oratorio;Piazzetta dei Bianchi;tel. 091 6173080;Chiuso per restauri. L'Oratorio è visitabile soltanto al primo piano solo previa prenotazione telefonica (max 10 persone) Chiuso Lunedi;Visite guidate su richiesta per gruppi. Per info 091 6230039;;;;Visite guidate su richiesta per gruppi. Per info 091 6230039;;Oratorio dei Bianchi;1505;;;;;;
musei e gallerie d'arte;Museo Diocesano;Museo Diocesano - Palazzo Arcivescovile;Via Matteo Bonello, 2;tel. 091 607 7111;da Martedì a Venerdì dalle 9.30 alle 13.30 - Sabato dalle 10 alle 18 - Domenica e festivi 9.30 - 13.30 Chiuso Lunedì;;intero 4,50 - ridotto 3,50 dai 6 ai 17 anni ed over 60 - ridotto 1,00 per scolaresche o gruppi min. 15 pax. E' possibile acquistare un biglietto cumulativo per visitare in combinata l'area monumentale della Cattedrale.;;www.museodiocesanopa.it;;;Museo Diocesano;;Via Matteo Bonello, 2, Palermo;Via Matteo Bonello, 2, 90134 Palermo, Italy;90134;Palermo;38.1137422;13.3556064
chiese e oratori;Oratorio del Carminello (1609);oratorio;Via Porta S. Agata, 5;tel. 329 2950170;Domenica dalle 9 alle 12 Chiusa dal Lunedì al Sabato;Possibile visita dell'Oratorio su prenot. telefonica nei giorni feriali;;;;;;Oratorio del Carminello;1609;Via Porta Sant'Agata, 5, Palermo;Via Porta Sant'Agata, 5, 90134 Palermo, Italy;90134;Palermo;38.1109516;13.3611478
musei e gallerie d'arte;Museo Enologico;Museo Enologico c/o Palazzo Principe di Palagonia;Via del IV Aprile, 2 (Piazza Marina);tel. 091 616 2288;da Lunedì a Sabato dalle 9 alle 12 Chiuso Domenica e festivi;;intero 5,00 comprensivo di visita guidata e degustazione;;www.enotecasicilia.eu;;;Museo Enologico;;;;;;;
chiese e oratori;Oratorio del SS.Rosario in S. Domenico (1574);oratorio;Piazza S. Giorgio dei Genovesi;tel. 091 332779 - 091 8431605 (Info e prenotazioni);ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18;Chiusa Domenica;costi: intero 5,00 - ridotto 4,00 per universitari e gruppi (minimo 10 persone) ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito.;;www.santacita.it;"L'Oratorio fa parte del Circuito dei ""tesori della loggia"" che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita) SS.Rosario in S.Domenico S.Giorgio dei Genovesi - S.Maria in Valverde";;Oratorio del SS.Rosario in S. Domenico;1574;;;;;;
chiese e oratori;Oratorio di S. Caterina d'Alessandria (1638);oratorio;Via Monteleone, 50;tel. 091 302667;Chiuso al pubblico;;;;www.santosepolcro.sicilia.it/chiese/s_caterina.htm;;;Oratorio di S. Caterina d'Alessandria;1638;Via Monteleone, 50, Palermo;Via Monteleone, 50, 90133 Palermo, Italy;90133;Palermo;38.1202549;13.3605392
musei e gallerie d'arte;"Museo Etnografico ""G. Pitrè""";"Museo Etnografico ""G. Pitrè"" Giuseppe Pitrè, demologo palermitano visse a cavallo tra il XIX ed il XX secolo. Medico di professione, si dedicò con passione filologica alla conservazione e catalogazione del patrimonio orale del popolo siciliano. Frutto dellimmane lavoro, che ebbe riconoscimenti fin oltre oceano, è la Biblioteca delle Tradizioni Popolari pubblicata in 25 volumi che attraverso la raccolta di canti, fiabe proverbi ricette giochi e indovinelli ripercorre il ciclo dellanno e della vita nella Sicilia del tempo. La collezione di manufatti raccolta da Pitrè e ordinata dal suo illustre allievo Giuseppe Cocchiara, costituiscono il primo nucleo del Museo Etno-antropologico di Palermo. Lesposizione permanente, allestita nel piano nobile del palazzo, ospita portantine e mobili settecenteschi, il teatrino dellOpera dei Pupi, la ""stanza della memoria"", dedicata a Giuseppe Pitrè, e parte dei volumi della Biblioteca, pubblicata in venticinque volumi fra il 1871 e il 1913, in particolare i fondi riguardanti le tradizioni popolari, la storia e larchitettura siciliana.";Viale Duca degli Abruzzi, 1;tel. 091 7409008 - 091 7409005 per informazioni e prenotazione visite : dal Lunedì al Venerdì dalle ore 09.30 alle ore 13.30;da Martedì a Domenica dalle 9.30 alle 18.30 Chiuso Lunedì - INGRESSO GRATUITO;;;;;;;"Museo Etnografico ""G. Pitrè""";;Viale Duca degli Abruzzi, 1, Palermo;Viale Duca degli Abruzzi, 1, Palermo, Province of Palermo, Italy;;Palermo;38.1643231;13.3316558
chiese e oratori;Oratorio di S. Cita (1603);oratorio;Piazza S. Giorgio dei Genovesi;tel. 091 332779 - 091 8431605 (Info e prenotazioni);ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18;Chiusa Domenica;costi: intero 5,00 - ridotto 4,00 per universitari e gruppi (minimo 10 persone) ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito.;;www.santacita.it;"L'Oratorio fa parte del Circuito dei ""tesori della loggia"" che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita) SS.Rosario in S.Domenico S.Giorgio dei Genovesi - S.Maria in Valverde";;Oratorio di S. Cita;1603;;;;;;
musei e gallerie d'arte;"Museo Geologico di Paleontologia ""Gemmellaro""";Museo Geologico di Paleontologia;Corso Tukory, 131;tel. 091 253 9477;da Lunedì a Giovedì dalle 9 alle 13 e dalle 15 alle 17, Venerdì dalle 9 alle 13. Il sabato dalle 9 alle 13 solo su prenotazione. Chiuso Sabato, Domenica e festivi;;intero 3,00 - ridotto 2,00;;www.unipa.it/museogemmellaro;;;"Museo Geologico di Paleontologia ""Gemmellaro""";;Corso Tukory, 131, Palermo;Corso Tukory, 131, 90134 Palermo, Italy;90134;Palermo;38.1088221;13.3592677
chiese e oratori;Oratorio di S. Filippo Neri (1593);oratorio;Via Roma 320/A;tel. 091 6091324;Chiuso per restauro;;;;www.oratoriosanfilipponeripalermo.org;;;Oratorio di S. Filippo Neri;1593;Via Roma 320/A, Palermo;Via Roma, 320, 90133 Palermo, Italy;90133;Palermo;38.1198451;13.3619839
musei e gallerie d'arte;"Museo Internazionale delle Marionette ""A. Pasqualino"" M.I.M.A.";Museo Internazionale delle Marionette;Piazzetta A. Pasqualino, 5 (trav. via Butera);tel. 091 328060;da Lunedì a Sabato dalle 9 alle 13 e dalle 14.30 alle 18.30 Domenica dalle 10 alle 13 Martedì e Giovedì alle ore 17.30 verrà effettuato spettacolo teatrale Chiuso festivi;;intero 5,00 - ridotto 3,00 bambini, over 65 e gruppi min. 20 pax. costi spettacolo: 6,00 - ridotto 4,00 bambini, over 65 e gruppi min. 20 pax.;;www.museomarionettepalermo.it;;;"Museo Internazionale delle Marionette ""A. Pasqualino"" M.I.M.A.";;Piazza Antonio Pasqualino, 5, Palermo;Piazza Antonio Pasqualino, 5, 90133 Palermo, Italy;90133;Palermo;38.11854719999999;13.3707091
chiese e oratori;Oratorio di S. Lorenzo all'Immacolatella (1570);oratorio;Via dell'Immacolatella, 5;tel. 091 6118168;orari: tutti i giorni dalle 10 alle 18;;costo: intero 2,50 - ridotto 1,50 per gruppi min.10 pax con ausilio guida;;www.amicimuseisiciliani.it;;;Oratorio di S. Lorenzo all'Immacolatella;1570;;;;;;
musei e gallerie d'arte;Museo Mormino;Museo - sede: Villa Zito;Viale Libertà, 52;tel. 091 779 2711;da Lunedì a Venerdì dalle 9 alle 13 e dalle 15 alle 17 Sabato dalle 9 alle 13. Chiuso Domenica e festivi;;intero 4,00 - ridotto 2,00 per ragazzi sotto i 18, over 65 anni ed universati muniti di tesserino - gratuito per studenti previa prenotazione;;www.museomormino.it;;;Museo Mormino;;Via della Libertà, 52, Palermo;Via della Libertà, 52, 90143 Palermo, Italy;90143;Palermo;38.1344952;13.3493225
musei e gallerie d'arte;Museo Regionale di Palazzo Mirto;museo regionale;Via Merlo, 2;tel. 091 616 7541 - 091 616 4751;da Martedì a Sabato dalle 9 alle 18 (ult.ingresso 17.30) - Domenica dalle 9 alle 13 (ult.ingresso 13.30) Chiuso Lunedì;;intero 5,00 - ridotto 3,00 da 18 a 25 anni. Gratuito under 18 ed over 65. Il ticket comprende la guida;;www.regione.sicilia.it/beniculturali/palazzomirto;;;Museo Regionale di Palazzo Mirto;;Via Merlo, 2, Palermo;Via Merlo, 2, 90133 Palermo, Italy;90133;Palermo;38.1165913;13.368641
musei e gallerie d'arte;Museo sulla storia della Scienza;Museo sulla storia della Scienza - c/o Liceo Classico Garibaldi;Via Maggiore Toselli, 36;tel: 091 589624 - 091 346152;Il Museo è visitabile esclusivamente su prenotazione;;;;www.museoscientifico.com;;;Museo sulla storia della Scienza;;Via Maggiore Toselli, 36, Palermo;Via Toselli Pietro Maggiore, 36, 90143 Palermo, Italy;90143;Palermo;38.13827939999999;13.3511492
